accuracy,precision,recall,f1_score,tn,fp,fn,tp,epoch,train_loss,scenario
0.7740384615384616,0.7426900584795322,0.9769230769230769,0.8438538205980066,102,132,9,381,1,0.3302357689151826,S1_real_only
0.8076923076923077,0.7789256198347108,0.9666666666666667,0.8627002288329519,127,107,13,377,2,0.14169859682764013,S1_real_only
0.7900641025641025,0.7564356435643564,0.9794871794871794,0.8536312849162012,111,123,8,382,3,0.11117030876728655,S1_real_only
0.75,0.7158671586715867,0.9948717948717949,0.8326180257510729,80,154,2,388,4,0.10134962913751648,S1_real_only
0.782051282051282,0.7442307692307693,0.9923076923076923,0.8505494505494505,101,133,3,387,5,0.08635136770995826,S1_real_only
0.7916666666666666,0.75390625,0.9897435897435898,0.8558758314855877,108,126,4,386,6,0.08111632717441213,S1_real_only
0.7387820512820513,0.7067395264116576,0.9948717948717949,0.8264110756123536,73,161,2,388,7,0.07380534427639017,S1_real_only
0.7067307692307693,0.681260945709282,0.9974358974358974,0.809573361082206,52,182,1,389,8,0.06871303102820026,S1_real_only
0.8381410256410257,0.8054968287526427,0.9769230769230769,0.8829663962920046,142,92,9,381,9,0.062229129965552785,S1_real_only
0.7532051282051282,0.7185185185185186,0.9948717948717949,0.8344086021505377,82,152,2,388,10,0.05874735998974304,S1_real_only
0.717948717948718,0.6897163120567376,0.9974358974358974,0.8155136268343816,59,175,1,389,11,0.05455029780292266,S1_real_only
0.7676282051282052,0.7306967984934086,0.9948717948717949,0.8425624321389793,91,143,2,388,12,0.04917824140890168,S1_real_only
0.8157051282051282,0.7811860940695297,0.9794871794871794,0.8691695108077362,127,107,8,382,13,0.04669153154024174,S1_real_only
0.8092948717948718,0.7704590818363274,0.9897435897435898,0.8664421997755332,119,115,4,386,14,0.04159299338066292,S1_real_only
0.7964743589743589,0.7573385518590998,0.9923076923076923,0.8590455049944506,110,124,3,387,15,0.03692420189916314,S1_real_only
0.7628205128205128,0.7283018867924528,0.9897435897435898,0.8391304347826086,90,144,4,386,16,0.03781106975286674,S1_real_only
0.7564102564102564,0.7220149253731343,0.9923076923076923,0.83585313174946,85,149,3,387,17,0.030121410636527162,S1_real_only
0.7532051282051282,0.7193308550185874,0.9923076923076923,0.834051724137931,83,151,3,387,18,0.02945456232022022,S1_real_only
0.7532051282051282,0.7193308550185874,0.9923076923076923,0.834051724137931,83,151,3,387,19,0.028076913611451128,S1_real_only
0.7435897435897436,0.7113970588235294,0.9923076923076923,0.8286937901498929,77,157,3,387,20,0.02543971995110153,S1_real_only
0.7339743589743589,0.7028985507246377,0.9948717948717949,0.8237791932059448,70,164,2,388,21,0.022116605609847458,S1_real_only
0.7900641025641025,0.7514563106796116,0.9923076923076923,0.8552486187845304,106,128,3,387,22,0.018254146494487897,S1_real_only
0.7355769230769231,0.7049180327868853,0.9923076923076923,0.8242811501597443,72,162,3,387,23,0.013574168388012814,S1_real_only
0.7900641025641025,0.7524366471734892,0.9897435897435898,0.8549280177187153,107,127,4,386,24,0.017710531531679268,S1_real_only
0.8108974358974359,0.7709163346613546,0.9923076923076923,0.8677130044843049,119,115,3,387,25,0.013610549392797669,S1_real_only
0.7467948717948718,0.7140221402214022,0.9923076923076923,0.8304721030042919,79,155,3,387,26,0.012497212803776027,S1_real_only
0.7564102564102564,0.7220149253731343,0.9923076923076923,0.83585313174946,85,149,3,387,27,0.010642100275848013,S1_real_only
0.7532051282051282,0.7185185185185186,0.9948717948717949,0.8344086021505377,82,152,2,388,28,0.01092559496397368,S1_real_only
0.7676282051282052,0.7315689981096408,0.9923076923076923,0.8422198041349293,92,142,3,387,29,0.010255633388299623,S1_real_only
0.7676282051282052,0.7315689981096408,0.9923076923076923,0.8422198041349293,92,142,3,387,30,0.0074670466677942025,S1_real_only
