epoch,mse_noise
1,0.3127119021227389
2,0.2539481496941184
3,0.2557427435699119
1,0.3337530092753333
2,0.2594984381893889
3,0.2606669322636115
4,0.2521929642616948
5,0.248525836697831
6,0.2494161115113668
7,0.2556594997598715
8,0.2453066521392781
9,0.2505480052890438
10,0.2451407175705385
11,0.2577588371204018
12,0.2435589294517813
13,0.2461120626086403
14,0.2467050561067174
15,0.2475068022095615
16,0.2604653311556239
17,0.2418154062748961
18,0.2417672111101425
19,0.2407891739601201
20,0.2480410365102115
21,0.2492353944250731
22,0.2505922542414999
23,0.2370753492031566
24,0.2421748901280271
25,0.2477901241016442
26,0.2464470179462976
27,0.2437741720725416
28,0.2392543113599045
29,0.251909757415804
30,0.2460660189804421
31,0.2400441433780146
32,0.2485126278240325
33,0.2458798412299297
34,0.2386555073260004
35,0.2353719873096725
36,0.2466023795390958
37,0.2408836409106759
38,0.2422768051344672
39,0.2480549390950565
40,0.2491766701243886
41,0.2417789534994178
42,0.2457300383601897
43,0.2403689161203001
44,0.2550343729261354
45,0.2454092795374957
46,0.2440686642715101
47,0.2423482415454885
48,0.2443422662812725
49,0.2330312550323587
50,0.2419628097498618
51,0.2447527825655244
52,0.2351223638965434
53,0.2400635702269826
54,0.2427210764776618
55,0.2450877495954224
56,0.2349552794665304
57,0.2309871218581484
58,0.2407468795530681
59,0.2448263068003522
60,0.2426461670804837
61,0.2427687497189599
62,0.2423647447007828
63,0.2322148567442696
64,0.2419054151506968
65,0.2418923594980312
66,0.2438962894429001
67,0.2453621321734886
68,0.236107796082056
69,0.2416005061226582
70,0.2434131543457713
71,0.2389606447673282
72,0.2421550359948326
73,0.2337207512792908
74,0.2391091884796627
75,0.2440675761110715
76,0.2320853726841235
77,0.2394908661382741
78,0.2439748190444797
79,0.2385379454068142
80,0.2346561496245833
81,0.2549861761187117
82,0.2554276287555694
83,0.2559728256949549
84,0.2517947800531754
85,0.2476919529833859
86,0.2483294559228434
87,0.2455056186985407
88,0.2528687081359715
89,0.2463475608544001
90,0.2402608345499822
91,0.244191108140066
92,0.2397025367000463
93,0.2508049048926178
94,0.2462100663459488
95,0.2400008409528313
96,0.2523778020568546
97,0.2389111576310467
98,0.2443304837651356
99,0.2349191899861329
100,0.2413319110941067
101,0.2370136241240004
102,0.2343979471197431
103,0.2423964046981711
104,0.2428473734762519
105,0.2411012864997324
106,0.2440081032041597
107,0.2350310103830658
108,0.23825953259887
109,0.2360676593022946
110,0.2448267273182061
111,0.2388538844537767
112,0.2372735788512895
113,0.2432932195652196
114,0.2389640719536977
115,0.2412069392229139
116,0.2451774053107032
117,0.235142718494564
118,0.2349790969457866
119,0.2391214427871035
120,0.24180860193217732
