accuracy,precision,recall,f1_score,tn,fp,fn,tp,epoch,train_loss,scenario
0.8253205128205128,0.7995735607675906,0.9615384615384616,0.8731082654249127,140,94,15,375,1,0.33789191823508646,S2_real_plus_ldm
0.7596153846153846,0.7272727272727273,0.9846153846153847,0.8366013071895426,90,144,6,384,2,0.151133308384299,S2_real_plus_ldm
0.7692307692307693,0.7347328244274809,0.9871794871794872,0.8424507658643327,95,139,5,385,3,0.12329410788094115,S2_real_plus_ldm
0.8173076923076923,0.7899159663865546,0.9641025641025641,0.8683602771362586,134,100,14,376,4,0.10256995887015932,S2_real_plus_ldm
0.7692307692307693,0.7329545454545454,0.9923076923076923,0.8431372549019607,93,141,3,387,5,0.0936149743835892,S2_real_plus_ldm
0.8028846153846154,0.7675350701402806,0.982051282051282,0.8616422947131608,118,116,7,383,6,0.0845390749919052,S2_real_plus_ldm
0.7467948717948718,0.7132352941176471,0.9948717948717949,0.8308351177730192,78,156,2,388,7,0.07881991901599618,S2_real_plus_ldm
0.8253205128205128,0.7896907216494845,0.982051282051282,0.8754285714285714,132,102,7,383,8,0.0706334340039294,S2_real_plus_ldm
0.7451923076923077,0.7119266055045872,0.9948717948717949,0.8299465240641711,77,157,2,388,9,0.06802319063785467,S2_real_plus_ldm
0.8173076923076923,0.7793522267206477,0.9871794871794872,0.8710407239819004,125,109,5,385,10,0.05805113220032564,S2_real_plus_ldm
0.7548076923076923,0.7198515769944341,0.9948717948717949,0.8353067814854682,83,151,2,388,11,0.057738667112351615,S2_real_plus_ldm
0.7419871794871795,0.7093235831809872,0.9948717948717949,0.8281750266808965,75,159,2,388,12,0.05345017062192475,S2_real_plus_ldm
0.7435897435897436,0.7106227106227107,0.9948717948717949,0.829059829059829,76,158,2,388,13,0.05517633312347544,S2_real_plus_ldm
0.8189102564102564,0.7809330628803245,0.9871794871794872,0.8720271800679501,126,108,5,385,14,0.04510632292682591,S2_real_plus_ldm
0.7371794871794872,0.7054545454545454,0.9948717948717949,0.825531914893617,72,162,2,388,15,0.04210499994847747,S2_real_plus_ldm
0.7724358974358975,0.7348484848484849,0.9948717948717949,0.8453159041394335,94,140,2,388,16,0.038510290318676574,S2_real_plus_ldm
0.7339743589743589,0.7028985507246377,0.9948717948717949,0.8237791932059448,70,164,2,388,17,0.03589367111121086,S2_real_plus_ldm
0.8157051282051282,0.7789046653144016,0.9846153846153847,0.869762174405436,125,109,6,384,18,0.03033522604592573,S2_real_plus_ldm
0.8028846153846154,0.7654075546719682,0.9871794871794872,0.8622620380739083,116,118,5,385,19,0.028283075528882613,S2_real_plus_ldm
0.7916666666666666,0.7529182879377432,0.9923076923076923,0.8561946902654868,107,127,3,387,20,0.03402914685657707,S2_real_plus_ldm
0.7660256410256411,0.730188679245283,0.9923076923076923,0.8413043478260869,91,143,3,387,21,0.02612116969561196,S2_real_plus_ldm
0.7291666666666666,0.6976744186046512,1.0,0.8219178082191781,65,169,0,390,22,0.023310884813982486,S2_real_plus_ldm
0.7147435897435898,0.6872791519434629,0.9974358974358974,0.8138075313807531,57,177,1,389,23,0.02440771084029238,S2_real_plus_ldm
0.75,0.7166666666666667,0.9923076923076923,0.8322580645161289,81,153,3,387,24,0.018487968027933368,S2_real_plus_ldm
0.7724358974358975,0.7348484848484849,0.9948717948717949,0.8453159041394335,94,140,2,388,25,0.021127232139124263,S2_real_plus_ldm
0.7548076923076923,0.7198515769944341,0.9948717948717949,0.8353067814854682,83,151,2,388,26,0.014661198446535554,S2_real_plus_ldm
0.7516025641025641,0.7171903881700554,0.9948717948717949,0.8335123523093448,81,153,2,388,27,0.014490308729449964,S2_real_plus_ldm
0.7916666666666666,0.7529182879377432,0.9923076923076923,0.8561946902654868,107,127,3,387,28,0.014308221029225635,S2_real_plus_ldm
0.7628205128205128,0.7274436090225563,0.9923076923076923,0.8394793926247288,89,145,3,387,29,0.013781431005967208,S2_real_plus_ldm
0.782051282051282,0.7432950191570882,0.9948717948717949,0.8508771929824561,100,134,2,388,30,0.015270955546092117,S2_real_plus_ldm
