scenario,accuracy,precision,recall,f1_score,tn,fp,fn,tp
S1_real_only,0.7676282051282052,0.7315689981096408,0.9923076923076924,0.8422198041349293,92,142,3,387
S2_real_plus_ldm,0.782051282051282,0.7432950191570882,0.9948717948717948,0.8508771929824561,100,134,2,388
